Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie Budget,Revenue
Bachchan Pandey,2022,146,Action,6.8,1287,Farhad Samji,Akshay Kumar,Kriti Sanon,Jacqueline Fernandez,165,49.48
Radhe Shyam,2022,128,Drama,6.8,123,Radha Krishna Kumar,Prabhas,Pooja Hedge,Bhagyashree,300,104.5
Gangubai,2022,152,Drama,7,753,Sanjay Leela Bhansali,Alia bhatt,Shantanu Maheshwari,Ajay devgn,180,126.51
Jhund,2022,175,"Action, Thriller",8.6,951,Nagraj Manjule,Amitabh bachchan,Akash thosar,rinku rajguru,30,13.51
Geheraiyaan,2022,148,"Romance, Thriller",6.2,6934,Shakun Batra,Deepika Padukone,Ananya Pandey,Siddhant Chaturvedi,70,0.085
Badhaai Do,2022,147,"Comedy, Drama",7.3,8426,Harshavardhan Kulkarni,Chum Darang,Bhumi Pednekar,Rajkummar Rao,45,20.62
Allah Ke Banday,2010,123,"Action, Crime, Drama",6.1,303,Faruk Kabir,Varun Bhagwat,Virendra Giri,Vikram Gokhale,5,0.53
Amir Salman Shahrukh,2016,109,Comedy,5.5,12,Dewashish Ghosh,Sagar Pandey,Raju Rahikwar,,185,169
Badrinath Ki Dulhania,2017,139,"Comedy, Drama, Romance",6.1,"10,865",Shashank Khaitan,Varun Dhawan,Alia Bhatt,Sahil Vaid,39,20.3
Baadshaho,2017,136,"Action, Adventure, Thriller",4.9,"4,454",Milan Luthria,Ajay Devgn,Ileana D'Cruz,Emraan Hashmi,90,123.5
Baaghi,2016,133,"Action, Romance, Thriller",5.2,"7,912",Sabir Khan,Shraddha Kapoor,Tiger Shroff,Sudheer Babu Posani,37,125.92
Baaghi 2,2018,137,"Action, Thriller",4.8,"9,625",Ahmed Khan,Tiger Shroff,Disha Patani,Manoj Bajpayee,59,254.33
Baaghi 3,2020,143,"Action, Comedy, Musical",2.1,"10,309",Ahmed Khan,Tiger Shroff,Riteish Deshmukh,Shraddha Kapoor,85,137.57
Baar Baar Dekho,2016,141,"Action, Comedy, Drama",5.3,"6,423",Nitya Mehra,Sidharth Malhotra,Katrina Kaif,Sayani Gupta,53,62.67
Baazigar,1993,175,"Crime, Drama, Musical",7.7,"26,583",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shah Rukh Khan,Kajol,2,8
Babumoshai Bandookbaaz,2017,122,"Action, Crime, Thriller",6.9,"1,974",Kushan Nandy,Nawazuddin Siddiqui,Bidita Bag,Jatin Goswami,14,18.24
Badhaai Do,2021,147,Comedy,7.3,"3,025",Harshavardhan Kulkarni,Rajkummar Rao,Bhumi Pednekar,,35,55
Badhaai Ho,2018,124,"Comedy, Drama",8,"29,518",Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao,29,219.5
Badla,2019,118,"Crime, Drama, Mystery",7.8,"23,890",Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh,10,138.49
Badlapur,2015,134,"Action, Crime, Drama",7.4,"22,324",Sriram Raghavan,Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam,16,81.33
Badlapur Boys,2014,123,Drama,4.7,123,Shailesh Verma,Annu Kapoor,Anupam Maanav,Saranya Mohan,7,1
Badmaash Company,2010,142,"Comedy, Crime, Drama",6,"6,466",Parmeet Sethi,Shahid Kapoor,Anushka Sharma,Meiyang Chang,25,48.45
Badmashiyaan,2015,128,"Comedy, Romance",4.6,133,Amit Khanna,Sidhant Gupta,Suzanna Mukherjee,Gunjan Malhotra,1,1.03
Badrinath Ki Dulhania,2017,139,"Comedy, Drama, Romance",6.1,"10,865",Shashank Khaitan,Varun Dhawan,Alia Bhatt,Sahil Vaid,39,200.45
Bahut Hua Sammaan,2020,125,"Comedy, Crime, Drama",7.3,"3,036",Ashish R. Shukla,Sanjay Mishra,Ram Kapoor,Raghav Juyal,17,58
Baiju Bawra,2021,,Drama,,,Sanjay Leela Bhansali,Deepika Padukone,Ranbir Kapoor,Alia Bhatt,80,2.3
Bajrangi Bhaijaan,2015,163,"Action, Adventure, Comedy",8,"78,448",Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,90,969.06
Bal Ganesh 2,2009,74,Animation,6.5,46,Pankaj Sharma,,,,2.25,0.26
Bala,2019,133,Comedy,7.3,"12,370",Amar Kaushik,Ayushmann Khurrana,Bhumi Pednekar,Yami Gautam,28,172
Chalte Chalte,2003,167,"Drama, Romance",6.6,"14,779",Aziz Mirza,Shah Rukh Khan,Rani Mukerji,Jas Arora,11,43.28
Dil Hai Ki Manta Nahin,1991,154,"Adventure, Comedy, Drama",7.3,"4,087",Mahesh Bhatt,Aamir Khan,Pooja Bhatt,Anupam Kher,2.2,4.52
Dil Dhadakne Do,2015,170,"Comedy, Drama, Romance",6.9,"15,722",Zoya Akhtar,Anil Kapoor,Shefali Shah,Priyanka Chopra Jonas,58,145
Dilwale Dulhania Le Jayenge,1995,181,"Drama, Romance",8.1,"65,134",Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri,40,122
Dilwale,2015,158,"Action, Comedy, Drama",5.1,"32,366",Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan,100,597
Ek Tha Tiger,2012,132,"Action, Romance, Thriller",5.5,"31,627",Kabir Khan,Salman Khan,Katrina Kaif,Girish Karnad,75,334.39
Fashion,2008,167,"Drama, Romance",6.9,"11,918",Madhur Bhandarkar,Priyanka Chopra Jonas,Kangana Ranaut,Mugdha Godse,20,39.29
Fukrey,2013,139,"Comedy, Drama, Romance",6.9,"10,762",Mrighdeep Lamba,Pulkit Samrat,Manjot Singh,Ali Fazal,19,49
Gabbar is Back,2015,128,"Action, Comedy, Crime",7.1,"23,209",Radha Krishna Jagarlamudi,Akshay Kumar,Shruti Haasan,Kareena Kapoor,79,135
Gadar: Ek Prem Katha,2001,170,"Action, Drama, Romance",7.2,"10,264",Anil Sharma,Sunny Deol,Ameesha Patel,Amrish Puri,19,133
Garam Masala,2005,146,Comedy,6.7,"14,431",Priyadarshan,Akshay Kumar,John Abraham,Paresh Rawal,17,54
Ghajini,2008,186,"Action, Drama, Mystery",7.3,"57,604",A.R. Murugadoss,Aamir Khan,Asin Thottumkal,Jiah Khan,65,232
Ghanchakkar,2013,137,"Comedy, Crime, Thriller",5.8,"4,797",Raj Kumar Gupta,Emraan Hashmi,Vidya Balan,Rajesh Sharma,29,39
Golmaal: Fun Unlimited,2006,150,"Action, Comedy, Drama",7.4,"15,556",Rohit Shetty,Ajay Devgn,Arshad Warsi,Sharman Joshi,15,46.72
Golmaal Returns,2008,135,"Comedy, Crime, Mystery",5.1,"7,236",Rohit Shetty,Ajay Devgn,Kareena Kapoor,Arshad Warsi,28,82.4
Golmaal Again,2017,140,"Action, Comedy, Fantasy",5,"8,423",Rohit Shetty,Ajay Devgn,Arshad Warsi,Tabu,72,315
Golmaal 3,2010,155,"Action, Comedy",5.5,"7,644",Rohit Shetty,Mithun Chakraborty,Ajay Devgn,Kareena Kapoor,35,169
Good Newwz,2019,134,Comedy,6.9,"15,644",Raj Mehta,Akshay Kumar,Kareena Kapoor,Diljit Dosanjh,117,318
I Hate Luv Storys,2010,129,"Comedy, Drama, Romance",5.6,"7,675",Punit Malhotra,Imran Khan,Sonam Kapoor,Sammir Dattani,30,82
3 Idiots,2009,170,"Comedy, Drama",8.4,"3,57,889",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,55,400
Judwaa,1997,138,"Action, Comedy, Drama",6.1,"5,679",David Dhawan,Salman Khan,Karisma Kapoor,Rambha,6.2,24.2
Judwaa 2,2017,145,"Action, Comedy",3.6,"9,622",David Dhawan,Varun Dhawan,Jacqueline Fernandez,Taapsee Pannu,65,227
Junglee,2019,115,"Action, Adventure, Thriller",5.6,"1,658",Chuck Russell,Vidyut Jammwal,Lars Kjeldsen,Asha Bhat,22,24
Kabhi Khushi Kabhie Gham...,2001,210,"Drama, Musical, Romance",7.4,"46,172",Karan Johar,Shah Rukh Khan,Kajol,Amitabh Bachchan,30,136
Kal Ho Naa Ho,2003,186,"Comedy, Drama, Musical",7.9,"64,972",Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan,22,86
Kalank,2019,166,"Drama, Romance",3.6,"11,873",Abhishek Varman,Varun Dhawan,Alia Bhatt,Madhuri Dixit,150,146
Kedarnath,2018,116,"Drama, Romance",6.9,"11,446",Abhishek Kapoor,Sushant Singh Rajput,Sara Ali Khan,Nitish Bharadwaj,35,96
Zero,2018,164,"Comedy, Drama, Romance",5.4,"24,784",Aanand L. Rai,Shah Rukh Khan,Anushka Sharma,Katrina Kaif,200,191
Zanjeer,2013,137,"Action, Crime, Drama",3.2,"2,416",Apoorva Lakhia,Ram Charan,Priyanka Chopra Jonas,Sanjay Dutt,60,105
Taare Zameen Par,2007,164,Drama/Musical,.8.4,187316,Amole Gupta,Aamir Khan,Darsheel Safary,Tisca Chopra,12,89
Yes Boss,1997,163,"Comedy, Drama, Musical",6.8,"12,714",Aziz Mirza,Shah Rukh Khan,Juhi Chawla,Aditya Pancholi,5,22.96
Yeh Raaste Hain Pyaar Ke,2001,149,"Action, Drama, Romance",4.1,685,Deepak S. Shivdasani,Ajay Devgn,Madhuri Dixit,Preity Zinta,8.5,15.7
Yeh Lamhe Judaai Ke,2004,135,"Drama, Mystery, Romance",3.7,"1,636",Pavan Kaul,Birendra Nath Tiwari,Shah Rukh Khan,Raveena Tandon,1,2
Yeh Jawaani Hai Deewani,2013,160,"Drama, Musical, Romance",7.1,"39,863",Ayan Mukherjee,Ranbir Kapoor,Deepika Padukone,Aditya Roy Kapoor,40,319.6
Yeh Hai Mumbai Meri Jaan,1999,148,"Action, Comedy, Romance",4.4,263,Mahesh Bhatt,Saif Ali Khan,Twinkle Khanna,Chunky Panday,3.5,5
Yeh Hai Jalwa,2002,165,"Comedy, Drama, Romance",4.7,"2,443",David Dhawan,Rishi Kapoor,Salman Khan,Ameesha Patel,8,11
Yeh Dillagi,1994,155,"Comedy, Drama, Musical",6,"4,348",Naresh Malhotra,Kajol,Akshay Kumar,Saif Ali Khan,1.6,10.8
Yaraana,1995,125,"Action, Drama, Musical",4.7,344,David Dhawan,Rishi Kapoor,Madhuri Dixit,Raj Babbar,5,9
Yamla Pagla Deewana 2,2013,154,"Action, Comedy",3.4,"1,820",Sangeeth Sivan,Dharmendra,Sunny Deol,Bobby Deol,46,49
Yamla Pagla Deewana Phir Se,2018,145,"Action, Comedy, Drama",4.5,"1,100",Navaniat Singh,Dharmendra,Sunny Deol,Bobby Deol,36,15
Welcome to New York,2018,118,"Comedy, Drama",1.6,774,Chakri Toleti,Richard Harris,Jasmine Kaur,Sonakshi Sinha,35,12.56
Welcome,2007,159,"Comedy, Romance",6.9,"19,527",Anees Bazmee,Akshay Kumar,Katrina Kaif,Nana Patekar,32,122
Welcome Back,2015,152,"Action, Comedy, Crime",4.2,"5,656",Anees Bazmee,John Abraham,Anil Kapoor,Nana Patekar,68,168.76
Waqt: The Race Against Time,2005,153,"Comedy, Drama, Family",6.8,"9,478",Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar,Priyanka Chopra Jonas,16,42.48
Wanted,2009,147,"Action, Crime, Thriller",6.6,"22,173",Prabhu Deva,Salman Khan,Ayesha Takia,Vinod Khanna,53,88.44
Wake Up Sid,2009,138,"Comedy, Drama, Romance",7.6,"29,167",Ayan Mukherjee,Ranbir Kapoor,Konkona Sen Sharma,Supriya Pathak,13,47.1
Vivah,2006,160,"Drama, Musical, Romance",6.6,"9,288",Sooraj R. Barjatya,Shahid Kapoor,Amrita Rao,Anupam Kher,8,50
Vicky Donor,2012,126,"Comedy, Romance",7.8,"40,589",Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,15,66.32
Veer-Zaara,2004,192,"Drama, Family, Musical",7.8,"50,101",Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukerji,23,98
Veere Di Wedding,2018,135,Comedy,3.2,"12,000",Shashanka Ghosh,Kareena Kapoor,Sonam Kapoor,Neena Gupta,45,138.8
Veer,2010,169,"Action, Adventure, Drama",4.5,"7,598",Anil Sharma,Salman Khan,Jackie Shroff,Mithun Chakraborty,48,64.6
Tamasha,2015,139,"Comedy, Drama, Romance",7.3,"24,623",Imtiaz Ali,Deepika Padukone,Ranbir Kapoor,Sushma Seth,80,132
Vaah! Life Ho Toh Aisi!,2005,153,"Comedy, Drama, Family",4.5,"2,293",Mahesh Manjrekar,Shahid Kapoor,Amrita Rao,Sanjay Dutt,12,19
Uri: The Surgical Strike,2018,138,"Action, Drama, War",8.2,"45,981",Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,25,342.06
Ujda Chaman,2019,120,Comedy,6.9,"4,944",Abhishek Pathak,Danish Singh,Navinder Pal Singh,Sunny Singh Nijjar,15,13.2
Tumhari Sulu,2017,150,"Comedy, Drama",7,"4,761",Suresh Triveni,Vidya Balan,Manav Kaul,Neha Dhupia,20,50.8
Tubelight,2017,136,"Drama, War",3.8,"17,774",Kabir Khan,Salman Khan,Sohail Khan,Om Puri,110,211.14
Tiger Zinda Hai,2017,161,"Action, Adventure, Thriller",5.9,"25,732",Ali Abbas Zafar,Salman Khan,Katrina Kaif,Anupriya Goenka,210,565.1
Thugs of Hindostan,2018,164,"Action, Adventure",4.1,"18,219",Vijay Krishna Acharya,Aamir Khan,Amitabh Bachchan,Katrina Kaif,300,335
The Ghazi Attack,2017,116,"Action, Thriller, War",7.6,"12,367",Sankalp Reddy,Rana Daggubati,Kay Kay Menon,Atul Kulkarni,21,33
The Dirty Picture,2011,144,"Biography, Comedy, Drama",6.6,"8,931",Milan Luthria,Vidya Balan,Emraan Hashmi,Tusshar Kapoor,25,117
Thappad,2020,142,Drama,6.8,"15,063",Anubhav Sinha,Taapsee Pannu,Pavail Gulati,Kumud Mishra,24,43.77
Thackeray,2019,120,"Biography, Drama",5.2,"3,005",Abhijit Panse,Nawazuddin Siddiqui,Amrita Rao,Radha Sagar,31,23.83
Tevar,2015,157,"Action, Drama, Romance",4,"3,014",Amit Ravindernath Sharma,Arjun Kapoor,Sonakshi Sinha,Manoj Bajpayee,56,57
Tees Maar Khan,2010,135,"Comedy, Crime",2.6,"11,981",Farah Khan,Akshay Kumar,Katrina Kaif,Akshaye Khanna,45,100
Tashan,2008,120,"Action, Drama, Romance",3.9,"5,037",Vijay Krishna Acharya,Akshay Kumar,Saif Ali Khan,Kareena Kapoor,31,33
Tanhaji: The Unsung Warrior,2020,135,"Action, Biography, Drama",7.6,"22,344",Om Raut,Ajay Devgn,Saif Ali Khan,Sharad Kelkar,150,368
Thalaivi,2021,153,Drama,6.3,"30,399",Vijay A L,Kangana Ranaut,Arvind Swamy,Raj Arjun,60,83
Helmet,2021,104,Comedy,6.8,"3,141",Satram Ramani,Pranutan Bahl,Arunita Jha,Aparshakti Khurana,4,#VALUE!
Antim:The final Thruth,2021,150,Action/Drama,7.2,"54,019",Mahesh Manjrekar,Salman Khan,Aayush Sharma,Mahima Makwana,48,58
Atrangi Re,2021,150,Musical/Drama,6.7,"23,247",Anand L Rai,Sara Ali Khan,Dhanush,Akshay Kumar,40,100
Pushpa,2021,179,Action/Drama,8,"4,79,997",Sukumar,Allu Arjun,Rashmika Mandanna,Samantha Ruth Prabhu,250,365
Sooryavanshi,2021,145,Action/Drama,6.6,"1,60,446",Rohit Shetty,Akshay Kumar,Katrina Kaif,Jackie Shroff,160,294.17
83,2021,165,Sport/Drama,7.4,"27,958",Kabir Khan,Ranveer Singh,Deepika Padukone,Hardy Sandhu,280,193.73
Chandigarh Kare Ashique,2021,120,Drama,7,"21,665",Abhishek Kapoor,Ayushmann Khurrana,Vaani Kapoor,Abhishek Bajaj,69,38.57
Tadap,2021,126,Romance/Action,5.7,"3,985",Milan Luthria,Tara Sutaria,Ahan Shetty,Suniel Shetty,23,34.96
Dhamaka,2021,104,Thriller/Action,7.7,"39,288",Ram Madhvani,Kartik Aaryan,Amruta Subhash,Mrunal Thakur,30,35
Haal-e-Dil,2008,124,"Drama, Romance",3.4,240,Anil Devgan,Amita Pathak,Nakuul Mehta,Adhyayan Suman,6,1.5
Haat - The Weekly Bazaar,2011,102,Drama,5.7,14,Seema Kapoor,Divya Dutta,Mukesh Tiwari,Archana Puran Singh,1.5,3.49
Haathi Mere Saathi,2021,126,Drama,,,Prabu Solomon,Rana Daggubati,Zoya Hussain,Pulkit Samrat,25,0.02
Haatim Tai,1990,125,"Drama, Fantasy, Romance",5.8,314,Babubhai Mistry,Jeetendra,Sangeeta Bijlani,Sonu Walia,1.9,0.5495
Hadh Kar Di Aapne,2000,134,"Comedy, Romance",5.3,"1,754",Manoj Agrawal,Govinda,Rani Mukerji,Johnny Lever,8,3.9
Haggada Kone: End of the Rope,2014,102,Drama,8.4,52,Dayal Padmanabhan,Naveen Krishna,Suchendra Prasad,Mohan,0.22,33
Haider,2014,160,"Action, Crime, Drama",8.1,"51,354",Vishal Bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor,35,2.3
Hair is Falling: A Serious Comedy Film,2011,120,"Comedy, Drama",5.3,31,Vicky Bhardwaj,Rajesh Bhardwaj,Sanjana Tiwari,Priyanka,0.1,3.8
Half Dracula,2021,100,Mystery,,,Vickram,Amit Kumar Vashisth,Toofan Verma,,0.015,0.12
Half Songs,2021,79,"Music, Romance",9.7,7,Sriram Raja,Raj Banerjee,Emon Chatterjee,Purshottam Mulani,0.135,2
Laat Sahab,2010,143,"Drama, Family, Romance",,,Dinesh Chaudhary,Sangeeta Choudhary,Kavita Joshi,Uttar Kumar,1.6,0.01
Ladies First,2014,106,Romance,3.6,20,Ashok Mehta,Ruby Ahmed,Khushboo Khan,Gautmi,5,84
Lafda,c,106,Drama,,,Pratap Kumar,Vivek Sharma,Uttar Kumar,Monu Dhankad,46,5.82
Lagna Pahave Karun,2013,125,Romance,6.5,55,Ajay Naik,Umesh Kamat,Mukta Barve,Siddharth Chandekar,36,8.9
Lagori,2017,48,"Drama, Mystery, Thriller",7.2,13,K Sukumar,Abhijeet K.,Kainat Ahmed,Akash,35,1.39
Laila Manju,2020,,,6.7,7,Prem Soni,Jimmy Sheirgill,Shashank Vyas,Abhimanyu Tomar,32,5.6
Lakme,2016,110,Romance,,,Sanjay Khandelwal,Prince Adhikari,Rayya Labib,S.A. Rashid,68,1.6
Lashtam Pashtam,2018,108,Drama,6,77,Manav Bhalla,Dolly Ahluwalia,Priyanshu Chatterjee,Tisca Chopra,16,0.95
Looop Lapeta,2021,,"Action, Comedy, Romance",,,Aakash Bhatia,Shreya Dhanwanthary,Taapsee Pannu,Tahir Raj Bhasin,53,23
Love Breakups Zindagi,2011,156,"Comedy, Drama, Romance",5.8,"1,006",Sahil Sangha,Zayed Khan,Dia Mirza,Cyrus Sahukar,13,10.54
M.S. Dhoni: The Untold Story,2016,184,"Biography, Drama, Sport",7.9,"43,713",Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,8,7.32
Maali,2020,85,Drama,,,Ashwini Malik,Prabhat Raghunandan,Swati Sen,Gaurav Sharma,15,9
Maassab (The Teacher),2018,116,Drama,8.6,155,Aditya Om,Shiva Suryavanshi,Sheetal Singh,Manveer Choudhary,23,56
Machaan,2021,124,"Drama, Romance",8.6,93,Nitesh Tiwari,Pawan Waval,Richa Kalra,Prateek Goyal,45,79.6
Made in China,2019,128,"Comedy, Drama",6.2,"3,845",Mikhil Musale,Rajkummar Rao,Boman Irani,Mouni Roy,48,260m
Madmast Barkhaa,2015,102,"Romance, Thriller",3.6,27,Jaspal Singh,Ekaansh Bhaardwaaj,Mithilesh Chaturvedi,Farida Dadi,80,0.04
Mad'ouk - Toughened by Life,2021,79,Documentary,,,Bharat Talaviya,Arvind Bijwe,Hari Damalpatti,Raj Vadgama,12,12
Mahanadhi,2013,,"Drama, Family, History",,,Krishnappa Uppur,Sanjjanaa Galrani,Sadhu Kokila,Rangayana Raghu,25,45
Mahayoddha Rama,2016,106,Animation,7.7,35,Rohit Vaid,Kunal Kapoor,Jimmy Sheirgill,Gulshan Grover,15,96
Main Hoon Rajinikanth,2015,127,Comedy,7.3,35,Faisal Saif,Smita Gondkar,Shakti Kapoor,Sameer Khan,20,39
N.H 10,2015,115,"Action, Crime, Drama",7.2,"12,421",Navdeep Singh,Anushka Sharma,Neil Bhoopalam,Darshan Kumaar,110,46.72
Naam Shabana,2017,147,"Action, Thriller",6.3,"5,924",Shivam Nair,Taapsee Pannu,Akshay Kumar,Manoj Bajpayee,75,82.4
Nagin,1976,180,"Fantasy, Thriller, Action",6.3,442,Rajkumar Kohli,Sunil Dutt,Feroz Khan,Vinod Mehra,20,315
Nail Polish,2021,128,Drama,7.4,"3,737",Bugs Bhargava Krishna,Arjun Rampal,Manav Kaul,Anand Tiwari,19,169
Nanak Shah Fakir,2014,146,Drama,8.2,344,A.K. Bir,Arif Zakaria,Puneet Sikka,Adil Hussain,79,6
Nartaki,1940,150,Drama,6.5,11,Debaki Bose,Leela Desai,Bhanu Bannerjee,Najmul Hussain,19,1.5
Nazarband,2020,85,Drama,,35,Suman Mukhopadhyay,Tanmay Dhanania,Indira Tiwari,,17,3.49
Neighbours,2014,125,Horror,3.2,42,Shyam Ramsay,Sunny Singh,Hritu,Gavie Chahal,65,0.02
